order_id,product_id,quantity,sales,profit
O00071,P0015,1,452,98.0
O00071,P0050,5,3790,651.51
O00072,P0069,3,1710,457.04
O00073,P0078,5,6180,875.42
O00074,P0035,1,175,32.85
O00074,P0057,2,2320,212.15
O00074,P0060,2,2310,540.8
O00075,P0083,4,2776,830.45
O00075,P0057,3,3480,309.37
O00076,P0038,4,5272,1186.57
O00076,P0001,3,4260,857.45
O00076,P0024,2,888,241.4
O00077,P0009,1,1459,352.53
O00077,P0045,1,524,76.82
O00077,P0077,2,2992,834.76
O00078,P0027,4,1408,123.79
O00078,P0076,3,1605,374.46
O00079,P0003,3,4050,1039.6
O00079,P0004,4,336,56.98
O00080,P0010,2,378,108.65
O00080,P0076,3,1605,323.45
O00081,P0083,3,2082,288.71
O00081,P0065,4,4660,1314.73
O00082,P0083,3,2082,561.15
O00083,P0056,1,902,233.05
O00084,P0098,2,2832,272.92
O00085,P0089,1,383,43.62
O00085,P0006,2,1584,398.14
O00086,P0011,1,908,217.09
O00087,P0078,3,3708,1006.48
O00087,P0029,5,7030,671.25
O00087,P0097,5,6160,1341.33
O00088,P0055,3,594,150.25
O00088,P0051,1,207,44.46
O00089,P0097,2,2464,305.28
O00090,P0036,1,1259,152.12
O00090,P0017,1,993,80.28
O00090,P0065,2,2330,294.16
O00091,P0052,1,651,107.49
O00091,P0083,5,3470,424.66
O00091,P0088,2,2002,472.1
O00092,P0003,5,6750,1588.82
O00092,P0057,4,4640,665.26
O00093,P0060,5,5775,1560.99
O00093,P0012,1,698,123.79
O00093,P0064,5,4070,331.25
O00094,P0080,2,594,81.92
O00095,P0033,5,645,189.63
O00095,P0065,1,1165,273.35
O00095,P0072,1,362,43.95
O00096,P0039,2,1884,218.04
O00096,P0005,5,4250,617.43
O00097,P0038,5,6590,1455.93
O00097,P0084,2,1410,245.11
O00098,P0065,2,2330,458.36
O00098,P0061,3,3726,528.79
O00099,P0017,1,993,92.9
O00100,P0082,3,2100,585.04
O00100,P0049,1,817,176.77
O00101,P0049,1,817,186.51
O00101,P0026,4,708,58.51
O00102,P0030,1,806,120.94
O00102,P0046,3,564,131.74
O00102,P0041,5,5760,1320.21
O00103,P0005,5,4250,585.38
O00104,P0042,4,3616,574.17
O00104,P0011,4,3632,586.56
O00105,P0002,4,740,110.23
O00105,P0038,2,2636,343.17
O00106,P0061,1,1242,288.13
O00107,P0050,4,3032,829.54
O00107,P0050,3,2274,643.9
O00108,P0081,4,132,35.79
O00108,P0017,4,3972,712.89
O00109,P0035,4,700,120.62
O00110,P0054,2,458,116.07
O00111,P0060,2,2310,387.78
O00111,P0092,1,1199,210.5
O00112,P0029,2,2812,318.4
O00112,P0100,2,1834,234.27
O00112,P0059,1,203,33.72
O00113,P0011,3,2724,420.07
O00114,P0044,4,780,129.71
O00115,P0058,5,1155,162.96
O00115,P0052,2,1302,243.52
O00116,P0028,4,4720,827.08
O00116,P0099,2,1930,361.33
O00116,P0004,1,84,13.25
O00117,P0089,1,383,110.94
O00118,P0063,4,2468,527.46
O00118,P0053,2,1514,199.44
O00118,P0044,4,780,200.3
O00119,P0008,4,5296,438.79
O00119,P0012,3,2094,458.44
O00120,P0089,3,1149,264.84
O00120,P0015,4,1808,387.92
O00121,P0086,2,1270,249.58
O00121,P0088,3,3003,719.06
O00121,P0067,2,2846,459.07
O00122,P0017,1,993,83.31
O00122,P0003,3,4050,695.55
O00123,P0094,3,1782,412.39
O00124,P0017,4,3972,1005.3
O00124,P0051,5,1035,160.39
O00125,P0010,2,378,105.24
O00125,P0021,3,4101,1033.25
O00126,P0034,2,1830,431.48
O00126,P0067,5,7115,940.2
O00126,P0017,2,1986,372.35
O00127,P0068,1,367,54.67
O00127,P0096,1,1174,193.14
O00128,P0029,5,7030,1059.87
O00129,P0067,4,5692,1034.76
O00129,P0029,3,4218,399.54
O00129,P0042,4,3616,907.74
O00130,P0006,2,1584,253.49
O00130,P0066,1,1191,219.41
O00131,P0081,1,33,5.02
O00132,P0041,4,4608,938.25
O00132,P0068,3,1101,319.8
O00132,P0007,4,3976,1179.93
O00133,P0014,5,535,66.35
O00133,P0061,2,2484,722.1
O00133,P0066,5,5955,1269.12
O00134,P0009,1,1459,352.8
O00134,P0096,2,2348,458.26
O00135,P0061,3,3726,501.56
O00135,P0019,4,5684,983.66
O00135,P0064,1,814,118.52
O00136,P0069,2,1140,165.46
O00137,P0042,4,3616,351.9
O00138,P0095,2,1534,273.47
O00138,P0024,4,1776,359.03
O00139,P0059,4,812,200.45
O00139,P0059,1,203,58.08
O00139,P0050,4,3032,426.63
O00140,P0078,5,6180,1110.75
O00140,P0059,2,406,84.86
O00140,P0016,3,4311,1251.67
O00141,P0065,1,1165,315.6
O00142,P0023,4,2656,427.99
O00142,P0073,3,1755,461.56
O00142,P0013,4,860,172.88
O00143,P0017,4,3972,882.55
O00143,P0025,4,1260,150.14
O00143,P0056,5,4510,1190.35
O00144,P0038,3,3954,598.17
O00145,P0048,1,1477,405.17
O00145,P0031,1,1431,342.02
O00145,P0046,2,376,71.17
O00146,P0065,2,2330,264.09
O00147,P0036,2,2518,722.23
O00147,P0052,2,1302,130.47
O00147,P0002,3,555,163.12
O00148,P0058,1,231,39.45
O00148,P0069,1,570,107.35
O00149,P0075,1,177,34.59
O00149,P0022,4,1548,360.39
O00149,P0035,5,875,228.4
O00150,P0072,4,1448,166.51
O00151,P0044,2,390,51.73
O00151,P0090,5,3365,287.13
O00152,P0054,2,458,84.87
O00152,P0038,1,1318,168.94
O00152,P0056,2,1804,521.34
O00153,P0038,5,6590,990.35
O00154,P0095,4,3068,258.44
O00154,P0033,3,387,72.87
O00155,P0084,4,2820,566.84
O00155,P0003,1,1350,167.44
O00155,P0043,1,1412,177.83
O00156,P0058,4,924,75.37
O00156,P0079,1,957,199.01
O00156,P0023,3,1992,382.49
O00157,P0040,4,1948,247.03
O00158,P0088,1,1001,281.63
O00158,P0096,5,5870,833.02
O00158,P0061,5,6210,1008.17
O00159,P0045,2,1048,276.32
O00159,P0088,5,5005,682.59
O00160,P0015,3,1356,376.35
O00161,P0033,1,129,28.78
O00161,P0026,4,708,61.13
O00162,P0066,5,5955,1485.2
O00162,P0072,2,724,87.36
O00162,P0081,1,33,5.45
O00163,P0017,2,1986,246.33
O00164,P0013,3,645,169.79
O00164,P0097,2,2464,677.76
O00164,P0011,3,2724,434.22
O00165,P0076,2,1070,219.04
O00166,P0008,2,2648,509.59
O00166,P0050,3,2274,188.1
O00167,P0039,3,2826,354.37
O00168,P0057,4,4640,1106.14
O00168,P0002,4,740,219.43
O00168,P0065,5,5825,1432.07
O00169,P0088,4,4004,814.34
O00169,P0069,3,1710,435.88
O00170,P0055,2,396,38.45
O00170,P0020,1,1132,310.81
O00170,P0062,1,808,174.72
O00171,P0099,3,2895,824.02
O00172,P0042,4,3616,592.71
O00172,P0063,5,3085,899.17
O00173,P0088,1,1001,161.13
O00174,P0099,2,1930,566.66
O00174,P0022,3,1161,112.32
O00174,P0049,4,3268,731.37
O00175,P0012,1,698,193.82
O00175,P0055,3,594,66.06
O00176,P0095,2,1534,163.33
O00176,P0091,1,1443,394.9
O00177,P0011,2,1816,151.01
O00177,P0015,1,452,108.24
O00178,P0090,5,3365,783.65
O00178,P0073,3,1755,244.67
O00179,P0073,5,2925,542.7
O00179,P0064,2,1628,207.41
O00179,P0052,4,2604,596.74
O00180,P0029,1,1406,266.34
O00181,P0085,4,5412,641.35
O00181,P0071,1,318,65.79
O00182,P0026,1,177,51.52
O00183,P0078,3,3708,883.07
O00183,P0092,2,2398,614.91
O00184,P0012,3,2094,611.24
O00185,P0088,2,2002,463.92
O00186,P0063,1,617,167.93
O00187,P0081,5,165,47.76
O00187,P0060,4,4620,1174.55
O00188,P0039,1,942,134.74
O00188,P0009,1,1459,308.68
O00188,P0086,4,2540,661.82
O00189,P0033,2,258,41.83
O00189,P0069,3,1710,410.0
O00189,P0027,5,1760,197.21
O00190,P0054,3,687,116.47
O00190,P0026,5,885,149.03
O00190,P0003,4,5400,1600.41
O00191,P0052,2,1302,337.39
O00191,P0099,4,3860,882.61
O00192,P0058,3,693,202.01
O00192,P0087,1,1255,266.65
O00193,P0092,3,3597,1019.53
O00194,P0093,4,2748,492.36
O00194,P0006,5,3960,1067.6
O00194,P0075,2,354,97.61
O00195,P0091,5,7215,2034.82
O00195,P0058,2,462,97.82
O00196,P0003,2,2700,721.55
O00196,P0056,5,4510,499.23
O00196,P0078,2,2472,646.26
O00197,P0084,1,705,184.12
O00197,P0005,1,850,253.22
O00198,P0016,1,1437,279.22
O00198,P0028,5,5900,477.24
O00198,P0083,5,3470,784.98
O00199,P0044,2,390,89.89
O00200,P0021,4,5468,578.09
O00200,P0094,3,1782,357.57
O00201,P0021,5,6835,1534.57
O00201,P0063,4,2468,316.39
O00202,P0016,4,5748,1329.61
O00202,P0096,1,1174,152.24
O00203,P0044,4,780,89.12
O00203,P0042,2,1808,429.52
O00203,P0085,5,6765,1731.74
O00204,P0023,2,1328,373.81
O00204,P0002,3,555,73.93
O00205,P0033,3,387,101.22
O00205,P0082,5,3500,771.45
O00206,P0073,1,585,48.89
O00207,P0039,1,942,118.28
O00207,P0011,1,908,86.03
O00208,P0084,1,705,121.84
O00208,P0066,3,3573,805.89
O00209,P0035,5,875,127.79
O00210,P0009,3,4377,550.88
O00210,P0062,4,3232,698.88
O00211,P0059,5,1015,213.69
O00211,P0018,4,460,135.67
O00212,P0092,3,3597,565.91
O00212,P0006,3,2376,556.31
O00213,P0093,5,3435,856.53
O00213,P0004,4,336,77.78
O00214,P0033,3,387,111.77
O00214,P0068,4,1468,438.67
O00214,P0019,4,5684,503.08
O00215,P0046,1,188,34.68
O00215,P0061,5,6210,622.56
O00216,P0051,1,207,37.27
O00217,P0060,3,3465,461.2
O00217,P0053,4,3028,265.12
O00217,P0022,3,1161,234.03
O00218,P0065,4,4660,594.81
O00218,P0093,4,2748,277.25
O00218,P0079,2,1914,403.0
O00219,P0005,1,850,242.95
O00219,P0035,4,700,66.64
O00219,P0028,2,2360,429.28
O00220,P0088,5,5005,827.82
O00220,P0028,5,5900,1320.51
O00220,P0050,1,758,102.86
O00221,P0076,5,2675,503.01
O00222,P0097,3,3696,989.72
O00222,P0066,1,1191,171.34
O00223,P0044,4,780,81.22
O00223,P0077,2,2992,876.91
O00224,P0079,2,1914,356.14
O00225,P0020,1,1132,187.01
O00226,P0070,2,1138,284.43
O00226,P0082,1,700,102.55
O00226,P0026,2,354,54.8
O00227,P0059,5,1015,270.01
O00227,P0083,2,1388,329.01
O00227,P0034,1,915,93.64
O00228,P0042,2,1808,439.12
O00229,P0047,5,1675,142.73
O00229,P0087,4,5020,806.56
O00229,P0037,4,2752,232.59
O00230,P0042,3,2712,595.73
O00230,P0010,1,189,32.53
O00230,P0053,1,757,107.01
O00231,P0065,4,4660,441.43
O00231,P0036,1,1259,173.5
O00231,P0090,3,2019,372.34
O00232,P0030,2,1612,450.48
O00232,P0098,2,2832,301.95
O00232,P0024,2,888,87.91
O00233,P0099,2,1930,343.81
O00234,P0090,3,2019,409.09
O00234,P0094,4,2376,225.01
O00234,P0068,2,734,152.72
O00235,P0035,5,875,77.65
O00236,P0035,2,350,51.13
O00237,P0081,4,132,10.89
O00237,P0011,1,908,174.56
O00237,P0021,1,1367,143.27
O00238,P0018,3,345,72.04
O00238,P0074,1,633,92.88
O00238,P0063,2,1234,185.47
O00239,P0048,4,5908,1514.04
O00240,P0054,4,916,169.66
O00241,P0069,1,570,67.22
O00242,P0016,5,7185,1932.14
O00242,P0033,1,129,14.47
O00242,P0080,2,594,159.62
O00243,P0010,1,189,34.98
O00244,P0031,5,7155,831.71
O00245,P0027,4,1408,372.77
O00245,P0081,3,99,28.34
O00245,P0014,3,321,54.38
O00246,P0004,1,84,22.81
O00246,P0039,4,3768,324.37
O00247,P0077,3,4488,744.88
O00247,P0096,5,5870,1549.69
O00247,P0070,2,1138,278.46
O00248,P0007,4,3976,855.94
O00249,P0050,4,3032,673.5
O00249,P0093,2,1374,182.87
O00249,P0019,5,7105,1017.99
O00250,P0012,4,2792,591.79
O00251,P0068,1,367,74.71
O00251,P0062,2,1616,404.07
O00252,P0005,3,2550,359.62
O00253,P0072,4,1448,322.96
O00253,P0069,3,1710,250.98
O00254,P0086,5,3175,482.47
O00254,P0081,3,99,26.55
O00254,P0015,4,1808,348.07
O00255,P0078,5,6180,1439.66
O00255,P0038,5,6590,1396.13
O00256,P0041,2,2304,422.21
O00256,P0078,1,1236,286.89
O00256,P0036,3,3777,744.83
O00257,P0020,1,1132,153.22
O00257,P0081,3,99,28.27
O00257,P0026,3,531,111.92
O00258,P0040,3,1461,414.78
O00259,P0075,2,354,72.4
O00259,P0099,3,2895,850.88
O00260,P0054,3,687,133.2
O00261,P0068,3,1101,152.0
O00261,P0038,4,5272,1198.49
O00262,P0038,5,6590,1818.32
O00263,P0049,3,2451,298.51
O00264,P0091,3,4329,1025.01
O00264,P0093,5,3435,517.49
O00264,P0009,4,5836,1213.8
O00265,P0067,1,1423,340.68
O00266,P0060,2,2310,289.35
O00266,P0013,3,645,77.58
O00267,P0061,4,4968,807.3
O00267,P0027,4,1408,262.67
O00267,P0083,3,2082,593.67
O00268,P0070,5,2845,441.28
O00268,P0071,3,954,203.5
O00269,P0020,1,1132,331.26
O00269,P0016,5,7185,2130.0
O00270,P0003,1,1350,164.11
O00271,P0100,4,3668,660.41
O00271,P0013,5,1075,224.02
O00272,P0097,5,6160,1261.81
O00272,P0049,2,1634,226.23
O00273,P0037,4,2752,580.56
O00273,P0085,4,5412,953.47
O00274,P0043,1,1412,156.36
O00274,P0038,1,1318,210.21
O00275,P0025,1,315,83.91
O00276,P0100,1,917,184.01
O00276,P0097,3,3696,399.29
O00277,P0021,4,5468,683.92
O00278,P0094,5,2970,276.73
O00278,P0007,1,994,153.35
O00278,P0094,5,2970,707.77
O00279,P0030,4,3224,428.63
O00279,P0024,2,888,191.83
O00280,P0093,3,2061,585.59
O00280,P0055,3,594,157.39
O00280,P0082,2,1400,119.07
O00281,P0014,3,321,79.52
O00281,P0088,2,2002,515.03
O00281,P0076,4,2140,266.84
O00282,P0054,1,229,66.41
O00282,P0044,1,195,40.11
O00282,P0089,5,1915,565.51
O00283,P0091,4,5772,619.94
O00283,P0023,2,1328,353.23
O00284,P0049,2,1634,295.9
O00285,P0092,2,2398,675.94
O00286,P0010,1,189,15.25
O00286,P0075,3,531,93.32
O00287,P0080,4,1188,211.65
O00287,P0067,2,2846,290.52
O00287,P0007,1,994,168.86
O00288,P0017,4,3972,449.17
O00288,P0078,4,4944,1320.69
O00289,P0099,1,965,192.11
O00289,P0029,3,4218,527.79
O00290,P0008,4,5296,932.43
O00290,P0007,5,4970,771.86
O00290,P0031,1,1431,271.59
O00291,P0058,4,924,244.31
O00291,P0077,5,7480,936.52
O00291,P0019,2,2842,667.19
O00292,P0043,4,5648,661.06
O00292,P0065,4,4660,585.15
O00292,P0040,3,1461,230.43
O00293,P0099,2,1930,457.96
O00293,P0055,2,396,64.74
O00294,P0018,1,115,26.57
O00294,P0042,5,4520,604.31
O00295,P0040,1,487,87.41
O00295,P0004,1,84,13.91
O00295,P0011,3,2724,433.37
O00296,P0092,4,4796,844.02
O00297,P0065,4,4660,464.52
O00297,P0018,3,345,54.03
O00298,P0090,3,2019,566.43
O00298,P0014,3,321,59.47
O00299,P0057,2,2320,621.3
O00300,P0015,5,2260,478.68
O00300,P0075,2,354,94.2
O00300,P0038,4,5272,844.61
O00301,P0004,1,84,19.79
O00302,P0037,1,688,148.19
O00303,P0030,1,806,108.88
O00303,P0087,5,6275,1788.64
O00303,P0002,4,740,83.46
O00304,P0030,4,3224,455.46
O00305,P0026,2,354,60.21
O00306,P0081,5,165,15.62
O00307,P0052,5,3255,297.74
O00308,P0006,2,1584,227.17
O00308,P0033,4,516,148.22
O00308,P0055,2,396,52.26
O00309,P0099,5,4825,1142.35
O00310,P0039,1,942,131.12
O00311,P0077,5,7480,802.68
O00312,P0031,5,7155,1770.07
O00312,P0073,2,1170,132.91
O00313,P0059,2,406,102.77
O00314,P0092,2,2398,596.14
O00314,P0090,5,3365,871.29
O00315,P0078,5,6180,1711.02
O00315,P0087,4,5020,550.64
O00315,P0052,1,651,119.26
O00316,P0046,2,376,101.36
O00317,P0071,5,1590,401.15
O00317,P0036,4,5036,675.19
O00318,P0052,1,651,154.26
O00319,P0076,5,2675,658.03
O00320,P0033,4,516,56.71
O00321,P0097,4,4928,967.64
O00321,P0043,4,5648,1293.71
O00322,P0062,5,4040,804.46
O00322,P0038,4,5272,1452.62
O00323,P0072,5,1810,285.74
O00323,P0049,5,4085,845.77
O00324,P0063,4,2468,605.55
O00324,P0017,5,4965,1420.54
O00324,P0080,2,594,113.27
O00325,P0093,2,1374,353.21
O00325,P0099,2,1930,185.57
O00326,P0017,3,2979,314.04
O00326,P0040,4,1948,319.8
O00327,P0018,3,345,29.41
O00327,P0052,4,2604,322.15
O00328,P0020,2,2264,398.05
O00329,P0002,2,370,66.23
O00329,P0015,5,2260,573.85
O00329,P0026,2,354,78.87
O00330,P0093,4,2748,367.65
O00330,P0017,1,993,276.16
O00331,P0098,3,4248,794.76
O00331,P0017,4,3972,940.71
O00332,P0057,2,2320,422.07
O00332,P0046,4,752,218.92
O00333,P0040,2,974,270.14
O00334,P0023,3,1992,323.28
O00335,P0022,4,1548,433.54
O00335,P0032,4,4180,406.24
O00336,P0003,3,4050,1055.59
O00336,P0019,5,7105,1314.17
O00337,P0028,1,1180,185.9
O00337,P0007,2,1988,294.77
O00338,P0016,2,2874,236.91
O00338,P0086,1,635,71.19
O00338,P0082,5,3500,487.6
O00339,P0011,5,4540,581.63
O00340,P0099,3,2895,246.97
O00340,P0091,4,5772,885.94
O00340,P0039,5,4710,853.75
O00341,P0076,3,1605,229.01
O00341,P0040,1,487,124.8
O00341,P0082,5,3500,374.94
O00342,P0064,4,3256,570.94
O00342,P0066,5,5955,523.77
O00343,P0029,5,7030,1344.9
O00343,P0005,2,1700,484.92
O00343,P0029,4,5624,858.41
O00344,P0021,4,5468,1317.34
O00344,P0001,3,4260,475.71
O00344,P0097,2,2464,247.64
O00345,P0097,3,3696,616.37
O00345,P0071,1,318,28.52
O00346,P0084,2,1410,173.13
O00347,P0044,2,390,67.03
O00347,P0040,2,974,169.4
O00347,P0096,5,5870,799.1
O00348,P0048,1,1477,440.18
O00349,P0081,1,33,4.57
O00350,P0046,1,188,24.1
O00350,P0077,2,2992,848.11
O00351,P0025,1,315,30.74
O00351,P0004,4,336,86.88
O00352,P0012,5,3490,838.1
O00352,P0052,3,1953,521.71
O00353,P0017,5,4965,1007.32
O00353,P0034,3,2745,600.98
O00354,P0031,5,7155,817.33
O00354,P0034,5,4575,889.43
O00355,P0001,5,7100,1783.7
O00355,P0033,2,258,33.48
O00356,P0056,4,3608,672.34
O00357,P0004,5,420,61.37
O00357,P0057,4,4640,423.55
O00358,P0092,3,3597,922.16
O00358,P0017,3,2979,308.12
O00358,P0010,2,378,76.39
O00359,P0063,2,1234,224.78
O00360,P0097,1,1232,287.58
O00361,P0076,3,1605,274.1
O00361,P0015,4,1808,311.42
O00361,P0083,3,2082,303.55
O00362,P0091,2,2886,626.47
O00363,P0096,1,1174,294.08
O00363,P0041,1,1152,202.56
O00363,P0040,4,1948,221.86
O00364,P0025,1,315,48.33
O00364,P0030,3,2418,256.33
O00365,P0047,4,1340,366.36
O00366,P0089,4,1532,320.88
O00366,P0022,4,1548,270.32
O00367,P0082,3,2100,280.37
O00368,P0065,3,3495,402.0
O00369,P0078,5,6180,1006.76
O00369,P0067,1,1423,145.35
O00370,P0059,1,203,22.94
O00371,P0051,4,828,229.56
O00371,P0071,2,636,189.66
O00372,P0064,4,3256,387.68
O00373,P0076,3,1605,475.74
O00374,P0083,3,2082,471.64
O00374,P0019,1,1421,126.32
O00375,P0022,3,1161,118.41
O00375,P0031,5,7155,702.02
O00376,P0037,5,3440,275.36
O00377,P0081,2,66,18.31
O00378,P0021,1,1367,189.76
O00378,P0090,3,2019,434.88
O00379,P0072,1,362,95.2
O00379,P0067,3,4269,471.71
O00379,P0048,4,5908,1260.51
O00380,P0046,2,376,83.31
O00380,P0040,5,2435,246.29
O00381,P0045,2,1048,242.7
O00381,P0061,1,1242,206.85
O00381,P0058,3,693,156.83
O00382,P0068,4,1468,379.13
O00382,P0099,3,2895,837.74
O00382,P0049,3,2451,354.42
O00383,P0031,4,5724,984.26
O00383,P0085,2,2706,689.32
O00383,P0088,3,3003,680.41
O00384,P0089,2,766,139.02
O00385,P0017,2,1986,174.96
O00385,P0060,1,1155,241.73
O00385,P0098,1,1416,159.29
O00386,P0034,2,1830,206.52
O00386,P0056,1,902,128.21
O00387,P0088,3,3003,622.94
O00387,P0014,4,428,75.23
O00388,P0057,5,5800,1394.69
O00389,P0036,2,2518,697.56
O00389,P0058,1,231,36.99
O00390,P0087,2,2510,391.36
O00390,P0067,1,1423,123.66
O00391,P0063,4,2468,298.74
O00391,P0051,4,828,150.67
O00392,P0078,3,3708,663.42
O00392,P0010,3,567,138.33
O00393,P0057,4,4640,1043.3
O00393,P0076,5,2675,724.9
O00393,P0091,2,2886,235.6
O00394,P0063,3,1851,317.4
O00395,P0018,3,345,38.85
O00395,P0062,2,1616,214.61
O00396,P0059,4,812,235.93
O00396,P0053,2,1514,361.2
O00396,P0037,4,2752,243.44
O00397,P0068,3,1101,260.39
O00398,P0014,3,321,49.49
O00398,P0046,1,188,35.01
O00398,P0087,5,6275,780.47
O00399,P0009,3,4377,1005.3
O00400,P0098,5,7080,992.32
O00400,P0038,4,5272,1453.54
O00400,P0031,5,7155,1536.48
O00401,P0062,2,1616,283.91
O00401,P0027,1,352,63.39
O00401,P0059,5,1015,203.37
O00402,P0080,4,1188,106.67
O00402,P0009,3,4377,367.41
O00402,P0033,5,645,140.58
O00403,P0012,4,2792,732.9
O00404,P0059,4,812,228.26
O00404,P0068,5,1835,377.68
O00405,P0065,5,5825,751.65
O00405,P0049,3,2451,358.0
O00406,P0063,1,617,160.22
O00406,P0076,5,2675,363.56
O00406,P0055,3,594,48.08
O00407,P0067,1,1423,183.28
O00408,P0020,2,2264,378.85
O00408,P0060,4,4620,418.15
O00409,P0083,3,2082,411.73
O00410,P0098,4,5664,473.49
O00410,P0044,3,585,145.76
O00410,P0043,1,1412,267.23
O00411,P0068,2,734,144.96
O00411,P0076,5,2675,383.23
O00411,P0003,1,1350,362.0
O00412,P0052,5,3255,780.09
O00412,P0048,2,2954,590.55
O00413,P0003,1,1350,311.47
O00414,P0002,3,555,123.38
O00415,P0058,1,231,23.53
O00415,P0099,3,2895,339.25
O00416,P0029,3,4218,723.08
O00416,P0002,4,740,92.43
O00417,P0024,3,1332,135.16
O00418,P0067,3,4269,1278.71
